STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR;REL_FEUCHTE;eor
  2667;2013122100;   7;  38;   2.1;  87.0;eor
  2667;2013122101;   7;  38;   1.9;  87.0;eor
  2667;2013122102;   7;  38;   3.3;  82.0;eor
  2667;2013122103;   7;  38;   3.1;  82.0;eor
  2667;2013122104;   7;  38;   2.8;  86.0;eor
  2667;2013122105;   7;  38;   4.1;  80.0;eor
  2667;2013122106;   7;  38;   3.8;  81.0;eor
  2667;2013122107;   7;  38;   3.7;  84.0;eor
  2667;2013122108;   7;  38;   3.9;  82.0;eor
  2667;2013122109;   7;  38;   4.7;  79.0;eor
  2667;2013122110;   7;  38;   5.3;  74.0;eor
  2667;2013122111;   7;  38;   6.1;  69.0;eor
  2667;2013122112;   7;  38;   6.3;  64.0;eor
  2667;2013122113;   7;  38;   6.4;  65.0;eor
  2667;2013122114;   7;  38;   5.9;  65.0;eor
  2667;2013122115;   7;  38;   5.8;  64.0;eor
  2667;2013122116;   7;  38;   5.3;  64.0;eor
  2667;2013122117;   7;  38;   4.4;  65.0;eor
  2667;2013122118;   7;  38;   4.1;  68.0;eor
  2667;2013122119;   7;  38;   4.6;  66.0;eor
  2667;2013122120;   7;  38;   5.1;  66.0;eor
  2667;2013122121;   7;  38;   5.7;  60.0;eor
  2667;2013122122;   7;  38;   6.4;  53.0;eor
  2667;2013122123;   7;  38;   8.0;  41.0;eor
  2667;2013122200;   7;  38;   7.3;  48.0;eor
  2667;2013122201;   7;  38;   7.7;  45.0;eor
  2667;2013122202;   7;  38;   7.9;  46.0;eor
  2667;2013122203;   7;  38;   5.8;  74.0;eor
  2667;2013122204;   7;  38;   4.7;  86.0;eor
  2667;2013122205;   7;  38;   5.7;  84.0;eor
  2667;2013122206;   7;  38;   5.9;  86.0;eor
  2667;2013122207;   7;  38;   6.7;  87.0;eor
  2667;2013122208;   7;  38;   6.6;  92.0;eor
  2667;2013122209;   7;  38;   7.6;  89.0;eor
  2667;2013122210;   7;  38;   8.8;  84.0;eor
  2667;2013122211;   7;  38;   9.3;  80.0;eor
  2667;2013122212;   7;  38;   9.4;  81.0;eor
  2667;2013122213;   7;  38;   9.8;  78.0;eor
  2667;2013122214;   7;  38;  10.0;  77.0;eor
  2667;2013122215;   7;  38;  10.3;  75.0;eor
  2667;2013122216;   7;  38;  10.0;  77.0;eor
  2667;2013122217;   7;  38;   9.7;  78.0;eor
  2667;2013122218;   7;  38;  10.1;  75.0;eor
  2667;2013122219;   7;  38;  10.0;  74.0;eor
  2667;2013122220;   7;  38;   9.4;  75.0;eor
  2667;2013122221;   7;  38;   8.9;  75.0;eor
  2667;2013122222;   7;  38;   7.4;  83.0;eor
  2667;2013122223;   7;  38;   7.2;  84.0;eor
  2667;2013122300;   7;  38;   7.7;  80.0;eor
  2667;2013122301;   7;  38;   7.4;  80.0;eor
  2667;2013122302;   7;  38;   6.9;  83.0;eor
  2667;2013122303;   7;  38;   7.1;  82.0;eor
  2667;2013122304;   7;  38;   7.2;  75.0;eor
  2667;2013122305;   7;  38;   6.6;  76.0;eor
  2667;2013122306;   7;  38;   6.1;  77.0;eor
  2667;2013122307;   7;  38;   4.5;  84.0;eor
  2667;2013122308;   7;  38;   5.1;  84.0;eor
  2667;2013122309;   7;  38;   6.0;  82.0;eor
  2667;2013122310;   7;  38;   7.6;  77.0;eor
  2667;2013122311;   7;  38;   9.3;  68.0;eor
  2667;2013122312;   7;  38;  10.1;  66.0;eor
  2667;2013122313;   7;  38;  10.2;  68.0;eor
  2667;2013122314;   7;  38;  10.2;  70.0;eor
  2667;2013122315;   7;  38;  10.1;  71.0;eor
  2667;2013122316;   7;  38;  10.2;  73.0;eor
  2667;2013122317;   7;  38;  10.1;  75.0;eor
  2667;2013122318;   7;  38;  10.4;  73.0;eor
  2667;2013122319;   7;  38;  10.8;  71.0;eor
  2667;2013122320;   7;  38;  10.7;  69.0;eor
  2667;2013122321;   7;  38;  10.4;  68.0;eor
  2667;2013122322;   7;  38;  11.7;  62.0;eor
  2667;2013122323;   7;  38;  11.5;  63.0;eor
  2667;2013122400;   7;  38;  11.5;  61.0;eor
  2667;2013122401;   7;  38;  10.6;  63.0;eor
  2667;2013122402;   7;  38;  10.7;  61.0;eor
  2667;2013122403;   7;  38;  10.6;  58.0;eor
  2667;2013122404;   7;  38;  10.6;  59.0;eor
  2667;2013122405;   7;  38;  10.6;  59.0;eor
  2667;2013122406;   7;  38;  11.0;  59.0;eor
  2667;2013122407;   7;  38;  11.9;  57.0;eor
  2667;2013122408;   7;  38;  12.1;  59.0;eor
  2667;2013122409;   7;  38;  12.7;  58.0;eor
  2667;2013122410;   7;  38;  13.3;  57.0;eor
  2667;2013122411;   7;  38;  13.5;  58.0;eor
  2667;2013122412;   7;  38;  13.5;  59.0;eor
  2667;2013122413;   7;  38;  13.4;  60.0;eor
  2667;2013122414;   7;  38;  13.7;  60.0;eor
  2667;2013122415;   7;  38;  13.9;  60.0;eor
  2667;2013122416;   7;  38;  13.6;  62.0;eor
  2667;2013122417;   7;  38;  13.8;  60.0;eor
  2667;2013122418;   7;  38;  13.6;  61.0;eor
  2667;2013122419;   7;  38;  13.7;  60.0;eor
  2667;2013122420;   7;  38;  13.1;  65.0;eor
  2667;2013122421;   7;  38;  12.8;  68.0;eor
  2667;2013122422;   7;  38;  12.4;  71.0;eor
  2667;2013122423;   7;  38;  12.8;  70.0;eor
  2667;2013122500;   7;  38;  12.3;  71.0;eor
  2667;2013122501;   7;  38;  11.9;  73.0;eor
  2667;2013122502;   7;  38;  12.2;  71.0;eor
  2667;2013122503;   7;  38;  12.2;  71.0;eor
  2667;2013122504;   7;  38;  11.7;  77.0;eor
  2667;2013122505;   7;  38;   9.9;  82.0;eor
  2667;2013122506;   7;  38;  10.1;  77.0;eor
