"TIMESTAMP";"Godesberger Allee 139 - WMZ3 Heizkreis - Heizkreis_Energie_H_d (kWh)"
"2014/06/16 00:00:00";"58"
"2014/06/17 00:00:00";"83"
"2014/06/18 00:00:00";"99"
"2014/06/19 00:00:00";"202"
"2014/06/20 00:00:00";"172"
"2014/06/21 00:00:00";"153"
"2014/06/22 00:00:00";"118"
"2014/06/23 00:00:00";"82"
"2014/06/24 00:00:00";"80"
"2014/06/25 00:00:00";"103"
"2014/06/26 00:00:00";"103"
"2014/06/27 00:00:00";"81"
"2014/06/28 00:00:00";"225"
"2014/06/29 00:00:00";"235"
"2014/06/30 00:00:00";"108"
"2014/07/01 00:00:00";"84"
"2014/07/02 00:00:00";"102"
"2014/07/03 00:00:00";"84"
"2014/07/04 00:00:00";"7"
"2014/07/05 00:00:00";"0"
"2014/07/06 00:00:00";"0"
"2014/07/07 00:00:00";"1"
"2014/07/08 00:00:00";"288"
"2014/07/09 00:00:00";"266"
"2014/07/10 00:00:00";"78"
"2014/07/11 00:00:00";"74"
"2014/07/12 00:00:00";"0"
"2014/07/13 00:00:00";"2"
"2014/07/14 00:00:00";"88"
"2014/07/15 00:00:00";"93"
"2014/07/16 00:00:00";"4"
"2014/07/17 00:00:00";"0"
"2014/07/18 00:00:00";"0"
"2014/07/19 00:00:00";"0"
"2014/07/20 00:00:00";"0"
"2014/07/21 00:00:00";"0"
"2014/07/22 00:00:00";"0"
"2014/07/23 00:00:00";"1"
"2014/07/24 00:00:00";"0"
"2014/07/25 00:00:00";"110"
"2014/07/26 00:00:00";"2"
"2014/07/27 00:00:00";"1"
"2014/07/28 00:00:00";"0"
"2014/07/29 00:00:00";"0"
"2014/07/30 00:00:00";"0"
"2014/07/31 00:00:00";"0"
"2014/08/01 00:00:00";"1"
"2014/08/02 00:00:00";"0"
"2014/08/03 00:00:00";"0"
"2014/08/04 00:00:00";"0"
"2014/08/05 00:00:00";"0"
"2014/08/06 00:00:00";"129"
"2014/08/07 00:00:00";"2"
"2014/08/08 00:00:00";"0"
"2014/08/09 00:00:00";"0"
"2014/08/10 00:00:00";"0"
"2014/08/11 00:00:00";"140"
"2014/08/12 00:00:00";"127"
"2014/08/13 00:00:00";"140"
"2014/08/14 00:00:00";"153"
"2014/08/15 00:00:00";"286"
"2014/08/16 00:00:00";"280"
"2014/08/17 00:00:00";"137"
"2014/08/18 00:00:00";"177"
"2014/08/19 00:00:00";"271"
"2014/08/20 00:00:00";"240"
"2014/08/21 00:00:00";"1.148"
"2014/08/22 00:00:00";"0"
"2014/08/23 00:00:00";"0"
"2014/08/24 00:00:00";"0"
"2014/08/25 00:00:00";"89"
"2014/08/26 00:00:00";"262"
"2014/08/27 00:00:00";"126"
"2014/08/28 00:00:00";"123"
"2014/08/29 00:00:00";"72"
"2014/08/30 00:00:00";"261"
"2014/08/31 00:00:00";"315"
"2014/09/01 00:00:00";"169"
"2014/09/02 00:00:00";"134"
"2014/09/03 00:00:00";"173"
"2014/09/04 00:00:00";"112"
"2014/09/05 00:00:00";"82"
"2014/09/06 00:00:00";"193"
"2014/09/07 00:00:00";"152"
"2014/09/08 00:00:00";"117"
"2014/09/09 00:00:00";"216"
"2014/09/10 00:00:00";"218"
"2014/09/11 00:00:00";"160"
"2014/09/12 00:00:00";"188"
"2014/09/13 00:00:00";"265"
"2014/09/14 00:00:00";"266"
"2014/09/15 00:00:00";"137"
"2014/09/16 00:00:00";"93"
"2014/09/17 00:00:00";"101"
"2014/09/18 00:00:00";"98"
"2014/09/19 00:00:00";"55"
"2014/09/20 00:00:00";"215"
"2014/09/21 00:00:00";"310"
"2014/09/22 00:00:00";"270"
"2014/09/23 00:00:00";"282"
"2014/09/24 00:00:00";"285"
"2014/09/25 00:00:00";"253"
"2014/09/26 00:00:00";"225"
"2014/09/27 00:00:00";"318"
"2014/09/28 00:00:00";"276"
"2014/09/29 00:00:00";"145"
"2014/09/30 00:00:00";"159"
"2014/10/01 00:00:00";"189"
"2014/10/02 00:00:00";"226"
"2014/10/03 00:00:00";"228"
"2014/10/04 00:00:00";"340"
"2014/10/05 00:00:00";"418"
"2014/10/06 00:00:00";"232"
"2014/10/07 00:00:00";"283"
"2014/10/08 00:00:00";"324"
"2014/10/09 00:00:00";"270"
"2014/10/10 00:00:00";"245"
"2014/10/11 00:00:00";"323"
"2014/10/12 00:00:00";"407"
"2014/10/13 00:00:00";"171"
"2014/10/14 00:00:00";"254"
"2014/10/15 00:00:00";"263"
"2014/10/16 00:00:00";"241"
"2014/10/17 00:00:00";"233"
"2014/10/18 00:00:00";"310"
"2014/10/19 00:00:00";"234"
"2014/10/20 00:00:00";"245"
"2014/10/21 00:00:00";"411"
"2014/10/22 00:00:00";"515"
"2014/10/23 00:00:00";"419"
"2014/10/24 00:00:00";"361"
"2014/10/25 00:00:00";"520"
"2014/10/26 00:00:00";"466"
"2014/10/27 00:00:00";"400"
"2014/10/28 00:00:00";"595"
"2014/10/29 00:00:00";"614"
"2014/10/30 00:00:00";"440"
"2014/10/31 00:00:00";"384"
"2014/11/01 00:00:00";"459"
"2014/11/02 00:00:00";"467"
"2014/11/03 00:00:00";"323"
"2014/11/04 00:00:00";"482"
"2014/11/05 00:00:00";"515"
"2014/11/06 00:00:00";"624"
"2014/11/07 00:00:00";"684"
"2014/11/08 00:00:00";"693"
"2014/11/09 00:00:00";"733"
"2014/11/10 00:00:00";"502"
"2014/11/11 00:00:00";"546"
"2014/11/12 00:00:00";"594"
"2014/11/13 00:00:00";"572"
"2014/11/14 00:00:00";"486"
"2014/11/15 00:00:00";"610"
"2014/11/16 00:00:00";"640"
"2014/11/17 00:00:00";"558"
"2014/11/18 00:00:00";"675"
"2014/11/19 00:00:00";"629"
"2014/11/20 00:00:00";"718"
"2014/11/21 00:00:00";"717"
"2014/11/22 00:00:00";"727"
"2014/11/23 00:00:00";"670"
"2014/11/24 00:00:00";"619"
"2014/11/25 00:00:00";"794"
"2014/11/26 00:00:00";"809"
"2014/11/27 00:00:00";"776"
"2014/11/28 00:00:00";"791"
"2014/11/29 00:00:00";"1.082"
"2014/11/30 00:00:00";"930"
"2014/12/01 00:00:00";"862"
"2014/12/02 00:00:00";"925"
"2014/12/03 00:00:00";"941"
"2014/12/04 00:00:00";"928"
"2014/12/05 00:00:00";"848"
"2014/12/06 00:00:00";"924"
"2014/12/07 00:00:00";"852"
"2014/12/08 00:00:00";"822"
"2014/12/09 00:00:00";"849"
"2014/12/10 00:00:00";"611"
"2014/12/11 00:00:00";"807"
"2014/12/12 00:00:00";"630"
