STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; ERDBODENTEMPERATUR;MESS_TIEFE; ERDBODENTEMPERATUR;MESS_TIEFE; ERDBODENTEMPERATUR;MESS_TIEFE; ERDBODENTEMPERATUR;MESS_TIEFE; ERDBODENTEMPERATUR;MESS_TIEFE;eor
     2667;2013122100;-999;-999;-999;   1.4;   0.05;   2.6;   0.10;   4.1;   0.20;   6.0;   0.50;eor
     2667;2013122101;-999;-999;-999;   1.3;   0.05;   2.6;   0.10;   4.0;   0.20;   6.0;   0.50;eor
     2667;2013122102;-999;-999;-999;   1.3;   0.05;   2.5;   0.10;   3.9;   0.20;   5.9;   0.50;eor
     2667;2013122103;-999;-999;-999;   1.2;   0.05;   2.4;   0.10;   3.8;   0.20;   5.9;   0.50;eor
     2667;2013122104;-999;-999;-999;   1.2;   0.05;   2.3;   0.10;   3.7;   0.20;   5.9;   0.50;eor
     2667;2013122105;-999;-999;-999;   1.6;   0.05;   2.3;   0.10;   3.6;   0.20;   5.8;   0.50;eor
     2667;2013122106;-999;-999;-999;   2.1;   0.05;   2.5;   0.10;   3.6;   0.20;   5.8;   0.50;eor
     2667;2013122107;-999;-999;-999;   2.1;   0.05;   2.6;   0.10;   3.6;   0.20;   5.8;   0.50;eor
     2667;2013122108;-999;-999;-999;   2.4;   0.05;   2.7;   0.10;   3.6;   0.20;   5.7;   0.50;eor
     2667;2013122109;-999;-999;-999;   2.8;   0.05;   2.9;   0.10;   3.6;   0.20;   5.7;   0.50;eor
     2667;2013122110;-999;-999;-999;   3.3;   0.05;   3.1;   0.10;   3.7;   0.20;   5.7;   0.50;eor
     2667;2013122111;-999;-999;-999;   3.9;   0.05;   3.4;   0.10;   3.8;   0.20;   5.6;   0.50;eor
     2667;2013122112;-999;-999;-999;   4.2;   0.05;   3.7;   0.10;   3.9;   0.20;   5.6;   0.50;eor
     2667;2013122113;-999;-999;-999;   4.3;   0.05;   4.0;   0.10;   4.0;   0.20;   5.6;   0.50;eor
     2667;2013122114;-999;-999;-999;   4.2;   0.05;   4.1;   0.10;   4.1;   0.20;   5.6;   0.50;eor
